year;imdb;budget;domgross;intgross;budget_2013;domgross_2013;intgross_2013;binary
2005;tt0408306;75000000;47379090;130279090;89477485;56524824;155427270;FAIL
2012;tt0903624;250000000;303003568;1014703568;253659641;307439106;1029557373;FAIL
2010;tt0889573;19000000;27758465;49858465;20296405;29652476;53260400;FAIL
2005;tt0393162;45000000;67264877;76669806;53686491;80249227;91469619;PASS
2005;tt0451094;4500000;211667;23471871;5368649;252526;28002720;PASS
2006;tt0454921;55000000;162586036;307325633;63568799;187916346;355205844;FAIL
1996;tt0115759;65000000;70645997;148345997;96535720;104920957;220318272;FAIL
2007;tt0780622;2000000;347578;2350641;2247087;390519;2641047;FAIL
2002;tt0289765;78000000;92955420;206455420;101023979;120393928;267396769;FAIL
2010;tt1440292;1900000;467602;4581937;2029641;499507;4894571;FAIL
2012;tt0938330;20000000;17530219;47944599;20292771;17786836;48646439;PASS
2010;tt1038686;26000000;40168080;68854097;27774028;42908822;73552139;PASS
1999;tt0177789;45000000;71423726;90523726;62930791;99883369;126593993;FAIL
2002;tt0303933;20000000;56398162;56398162;25903584;73045727;73045727;FAIL
1998;tt0120321;2000000;6719300;7756617;2858265;9602769;11085232;PASS
2007;tt0478311;27500000;148761765;219154490;30897446;167140312;246229599;PASS
2010;tt0892318;30000000;53032453;79135982;32046955;56650955;84535576;FAIL
2008;tt0959337;45000000;22911480;79564960;48701534;24796094;86109680;PASS
2002;tt0133240;100000000;38120554;91800000;129517922;49372949;118897452;FAIL
1999;tt0120601;13000000;22858926;32382381;18180006;31967340;45285530;PASS
2013;tt1798709;23000000;25000178;33029713;23000000;25000178;33029713;FAIL
2010;tt0804497;8000000;6363628;6628326;8545855;6797830;7080589;FAIL
2000;tt0183523;90000000;60874615;106000000;121761754;82357777;143408288;FAIL
2009;tt0375568;65000000;19551067;44093014;70572554;21227211;47873178;FAIL
2009;tt1186830;70000000;619423;38992292;76001212;672527;42335163;FAIL
1991;tt0101414;20000000;218951625;451421625;34216807;374591278;772310338;PASS
2010;tt0947810;100000000;35497337;97523020;106823184;37919386;104177195;FAIL
1991;tt0102975;27000000;74888996;96900000;46192690;128123117;165780431;FAIL
2006;tt0384537;50000000;46982632;99982632;57789817;54302354;115559561;PASS
1999;tt0133093;65000000;171479930;460279930;90900032;239808171;643684004;PASS
2013;tt1454468;110000000;271814796;708714796;110000000;271814796;708714796;FAIL
2002;tt0274558;25000000;41675994;97030468;32379480;53977881;125671845;PASS
2013;tt1572315;20000000;34341945;39093317;20000000;34341945;39093317;PASS
1998;tt0120647;80000000;140464664;349464664;114330585;200742590;499431243;PASS
2009;tt1234548;24000000;32428195;67348218;26057558;35208316;73122088;FAIL
2011;tt1454029;25000000;169705587;213120004;25892270;175762513;220726425;PASS
2013;tt1951261;103000000;112200072;362000072;103000000;112200072;362000072;FAIL
2000;tt0199725;15000000;27441122;27709625;20293626;37125324;37488584;PASS
2002;tt0181689;102000000;132024714;358824714;132108280;170995666;464742312;FAIL
2009;tt0896923;8300000;493296;1353296;9011572;535587;1469316;PASS
2004;tt0337563;30000000;57139723;96439723;36995786;70464299;118928779;PASS
1987;tt0092644;20000000;153665036;276665036;41007948;315074388;567273267;FAIL
1996;tt0116260;20000000;26792700;26792700;29703299;39791578;39791578;PASS
1991;tt0102798;50000000;165493908;390500000;85542018;283133658;668083163;FAIL
2009;tt0810784;8500000;4444637;17260680;9228719;4825683;18740466;PASS
2003;tt0311289;20000000;67383924;72383924;25321739;85313907;91644342;FAIL
2009;tt1185836;3200000;2277396;2828590;3474341;2472641;3071090;FAIL
1997;tt0118571;85000000;172956409;315268353;123355241;251000935;457529453;FAIL
2010;tt0878835;3000000;4033574;4570178;3204696;4308792;4882010;PASS
1997;tt0124819;1000000;582024;627287;1451238;844655;910343;FAIL
2005;tt0410097;2800000;22202809;23563727;3340493;26488687;28112307;FAIL
2008;tt0970411;38000000;7871693;11817059;41125740;8519189;12789087;PASS
2009;tt0889583;42000000;60054530;130788243;45600727;65203101;142000928;FAIL
2003;tt0251127;50000000;105807520;177079973;63304348;133961521;224198644;FAIL
1994;tt0111161;25000000;28241469;28241469;39291617;44386120;44386120;FAIL
2002;tt0238546;35000000;30307804;30307804;45331273;39254038;39254038;PASS
2010;tt1001526;130000000;148415853;321887208;138870139;158542540;343850165;FAIL
1986;tt0092005;8000000;52287414;52287414;16990118;111046165;111046165;FAIL
2001;tt0265343;1200000;13876974;27025600;1579015;18259960;35561527;PASS
2012;tt1371111;102000000;27108272;126018564;103493134;27505098;127863295;PASS
2007;tt0461770;85000000;127706877;340384141;95501196;143484229;382436383;PASS
2004;tt0308644;25000000;51676606;115036108;30829822;63727222;141861709;PASS
2007;tt0465538;21500000;49033882;92987651;24156185;55091699;104475669;FAIL
2013;tt0453562;40000000;95020213;95020213;40000000;95020213;95020213;FAIL
1992;tt0106308;11000000;11502976;21502976;18263820;19098934;35702407;FAIL
1992;tt0104868;10000000;50752337;50752337;16603472;84266502;84266502;FAIL
2008;tt0887912;15000000;17017811;49894223;16233845;18417633;53998338;FAIL
1974;tt0072431;2800000;86300000;86300000;13226433;407657562;407657562;FAIL
2002;tt0258000;48000000;95308367;196308367;62168602;123441416;254254517;PASS
2003;tt0324133;7800000;10130108;22441323;9875478;12825598;28412666;PASS
2011;tt1788391;800000;29063;462206;828553;30100;478703;FAIL
1995;tt0114746;29000000;57141459;168841459;44334604;87356689;258121354;FAIL
2009;tt1083456;20000000;17231291;18608570;21714632;18708557;20203912;FAIL
2007;tt0498399;28000000;28563179;55307857;31459218;32091974;62140782;FAIL
2010;tt1014759;200000000;334191110;1024391110;213646368;356993585;1094287202;PASS
2010;tt1415283;35000000;29197642;97799865;37388114;31189851;104472930;PASS
1998;tt0120108;20000000;1903434;5313608;28582646;2720259;7593849;FAIL
2006;tt0422720;40000000;15962471;60862471;46231854;18449366;70344622;PASS
1989;tt0098519;18000000;7190505;7190505;33832599;13515193;13515193;PASS
1995;tt0112471;2500000;5274005;5274005;3821949;8062791;8062791;FAIL
2006;tt0452594;52000000;118806699;202944203;60101410;137316349;234562168;FAIL
2008;tt420238;60000000;50877145;90482317;64935379;55062111;97925059;PASS
2009;tt0433362;20000000;30101577;51401577;21714632;32682233;55808316;FAIL
1990;tt0100802;125000000;58877969;198615996;222871925;104977970;354127435;FAIL
1977;tt0074486;100000;7000000;7000000;384315;26902024;26902024;FAIL
2002;tt0278500;15000000;8378141;8378141;19427688;10851194;10851194;PASS
2012;tt1853728;100000000;162805434;425373688;101463857;165188672;431600549;FAIL
1995;tt0114898;175000000;88246220;264246220;267536405;134909008;403974193;FAIL
1999;tt0139239;6500000;16875273;28383441;9090003;23599429;39693164;PASS
2013;tt0816442;19000000;21345525;62045525;19000000;21345525;62045525;PASS
1997;tt0119114;40000000;42071069;50071069;58049525;61055139;72665044;PASS
2013;tt0790736;130000000;33618855;79019947;130000000;33618855;79019947;FAIL
1975;tt0073486;4400000;108981275;108981275;19043641;471681892;471681892;FAIL
1994;tt0111503;100000000;146282411;365300000;157166470;229906901;574129115;FAIL
1997;tt0119396;12000000;39673162;74727492;17414858;57575205;108447385;PASS
2005;tt0388795;13900000;83043761;174097801;16583160;99073958;207704444;FAIL
2003;tt0266543;94000000;380529370;906465556;119012174;481783272;1147664217;FAIL
2010;tt1245526;60000000;90380162;196439693;64093910;96546967;209843135;FAIL
2006;tt0454848;50000000;88634237;184634237;57789817;102443127;213399577;FAIL
2011;tt1499658;35000000;117538559;214538559;36249178;121733603;222195609;PASS
1999;tt0157503;10000000;10571408;10571408;13984620;14783713;14783713;PASS
1998;tt0120591;140000000;201578182;554600000;200078524;288081893;792596781;FAIL
2004;tt0362270;50000000;24006726;34806726;61659644;29604924;42923407;FAIL
1993;tt0107048;14600000;70906973;70906973;23541900;114334580;114334580;FAIL
2009;tt1078588;27500000;49200230;96673002;29857619;53418244;104960933;PASS
2000;tt0190865;75000000;68473360;213500000;101468129;92638183;288845939;FAIL
2009;tt1022603;7500000;32391374;60803210;8142987;35168338;66015966;FAIL
2012;tt1862079;750000;4010957;4413188;760979;4069672;4477791;PASS
2008;tt0876563;34000000;15090399;205312666;36796715;16331680;222200929;PASS
2002;tt0275847;80000000;145771527;245800000;103614337;188800252;318355051;PASS
2003;tt0327056;30000000;90135191;156835191;37982609;114118990;198566990;PASS
1999;tt0167404;40000000;293506292;672806292;55938481;410457404;940894052;FAIL
1997;tt0118829;32000000;3588602;3588602;46439620;5207916;5207916;PASS
1988;tt0095953;25000000;172825435;412800000;49241175;340405101;813070285;FAIL
2003;tt0322330;26000000;110222438;160822438;32918261;139551191;203615191;PASS
1997;tt0118880;80000000;101117573;224117573;116099050;146745677;325247966;FAIL
2005;tt0405422;26000000;109449237;177360047;31018861;130576566;211596412;FAIL
1999;tt0132347;68000000;29762011;33462011;95095418;41621042;46795352;FAIL
1986;tt0091763;6000000;137963328;137963328;12742588;293001649;293001649;FAIL
2008;tt1059786;80000000;101440743;178066569;86580505;109784884;192713668;FAIL
1997;tt0120201;100000000;54768952;121100000;145123812;79482791;175744937;PASS
2007;tt0486822;20000000;80209692;117573043;22470870;90119077;132098426;PASS
2001;tt0247638;30000000;108244774;165334774;39475379;142433448;217555094;PASS
2007;tt0462538;72500000;183135014;527071022;81456903;205760152;592187212;PASS
2008;tt0865556;55000000;52075270;129075270;59524097;56358790;139692526;FAIL
2013;tt2334879;150000000;73103784;205440387;150000000;73103784;205440387;FAIL
1988;tt0095687;16000000;13854000;13854000;31514352;27287490;27287490;PASS
2013;tt1723121;37000000;150394119;270000119;37000000;150394119;270000119;PASS
1978;tt0077631;6000000;181813770;387513770;21424236;649203517;1383697739;PASS
2008;tt0981227;10000000;31487293;33544594;10822563;34077322;36303849;PASS
2001;tt0244000;35000000;13264986;13264986;46054609;17454678;17454678;FAIL
2005;tt0402399;30000000;12712093;26184400;35790994;15165948;31238857;FAIL
1998;tt0120800;40000000;22772500;38172500;57165293;32544916;54553553;PASS
2006;tt0477139;1000000;446165;460136;1155796;515676;531824;FAIL
1999;tt0139134;11000000;38230075;75803716;15383082;53463308;106008618;PASS
1998;tt0120738;80000000;69117629;136047317;114330585;98778237;194429617;PASS
2005;tt0367594;150000000;206459076;474459076;178954969;246312517;566045396;PASS
1999;tt0151568;20000000;6201757;6201757;27969241;8672922;8672922;PASS
1981;tt0082495;2500000;25533818;25533818;6404716;65414737;65414737;PASS
2009;tt0473705;60000000;37017955;91445389;65143896;40191563;99285148;PASS
2010;tt1531663;5000000;2712131;2712131;5341159;2897185;2897185;FAIL
1991;tt0103247;14000000;34729091;34729091;23951765;59415931;59415931;FAIL
1989;tt0098206;10000000;30050028;30050028;18795888;56481697;56481697;FAIL
2008;tt0410377;37000000;48006762;94081683;40043484;51955621;101820495;PASS
2002;tt0258068;20000000;12987647;26348203;25903584;16821330;34125645;FAIL
1974;tt0072308;140000;26572439;26572439;661322;125520924;125520924;FAIL
1998;tt0120685;125000000;136314294;376000000;178641539;194811162;537353750;FAIL
2011;tt1720182;1000000;5355847;5355847;1035691;5547001;5547001;PASS
2003;tt0287978;80000000;102543518;182782518;101286957;129829011;231418562;FAIL
1986;tt0092099;15000000;179800601;356800601;31856471;381854174;757760530;FAIL
2010;tt1403981;16000000;19068240;56506120;17091709;20369301;60361637;PASS
2013;tt1457767;20000000;137400141;318000141;20000000;137400141;318000141;PASS
2000;tt0187078;103300000;101643008;232643008;139755436;137513677;314744675;FAIL
1999;tt0120891;175000000;113805681;221229335;244730855;159152923;309380824;FAIL
2006;tt0758794;65000000;43545364;43545364;75126763;50329573;50329573;FAIL
2004;tt0345074;20000000;8047525;8047525;24663858;9924151;9924151;PASS
2011;tt1478338;32500000;169106725;289263136;33659951;175142277;299587165;PASS
2009;tt1132620;90000000;102515793;233170238;97715844;111304636;253160295;FAIL
1990;tt0099582;26000000;61308153;61308153;46357360;109310929;109310929;PASS
2006;tt0439289;12000000;6860000;8706701;13869556;7928763;10063173;PASS
2008;tt0200465;20000000;30060660;66143005;21645126;32533339;71583685;PASS
1999;tt0129167;50000000;23159305;31333917;69923101;32387409;43819293;FAIL
1997;tt0119698;20000000;2374107;150350000;29024763;3445395;218193652;PASS
2005;tt0374536;80000000;63313159;131159306;95442650;75534696;156477397;PASS
2011;tt1385826;50200000;62495645;127793502;51991677;64726164;132354553;FAIL
2007;tt0808417;7300000;4443403;22742498;8201867;4992356;25552185;PASS
1988;tt0094947;14000000;34700000;34700000;27575058;68346751;68346751;PASS
2005;tt0397101;40000000;47907715;92256918;47721325;57155491;110065560;PASS
1997;tt0119137;80000000;92993801;177993801;116099050;134956149;258311390;FAIL
2004;tt0381707;20000000;69148997;111448997;24663858;85274051;137438109;PASS
2007;tt0465494;17500000;39687694;99965792;19662011;44590850;112315914;FAIL
2011;tt1204342;45000000;88625922;160971922;46606085;91789051;166717137;FAIL
2003;tt0327137;30000000;42070939;47902566;37982609;53265467;60648814;FAIL
2001;tt0243155;25000000;71500556;281527158;32896149;94083718;370446373;PASS
2003;tt0234215;127000000;281553689;738576929;160793043;356471453;935102616;PASS
1975;tt0073195;12000000;260000000;470700000;51937204;1125306085;2037236823;FAIL
2007;tt0425430;16000000;35374833;53774833;17976696;39745163;60418363;PASS
2010;tt1564585;10000000;21416355;78693371;10682318;22877632;84062765;FAIL
2009;tt1155056;40000000;71440011;91729503;43429264;77564677;99593620;FAIL
2008;tt0494652;27500000;42436517;43607627;29762049;45927188;47194630;FAIL
2006;tt0407887;90000000;133311000;290539042;104021671;154080367;335803963;FAIL
2005;tt0320661;110000000;47398413;218853353;131233644;56547877;261099301;FAIL
2006;tt0433386;20000000;39143839;70743839;23115927;45242306;81765471;PASS
1976;tt0074958;3800000;23689877;23689877;15548943;96934884;96934884;PASS
1997;tt0119345;17000000;72250091;125250091;24671048;104852087;181767707;PASS
2004;tt0316654;200000000;373524485;783705001;246638575;460627734;966459425;FAIL
2011;tt0433035;110000000;85463309;293237309;113925987;88513562;303703179;FAIL
1997;tt0119361;25000;2883661;2883661;36281;4184879;4184879;FAIL
1994;tt0111255;45000000;57362581;57362581;70724911;90154744;90154744;FAIL
2001;tt0198781;115000000;289423425;559757719;151322285;380836644;736554932;FAIL
2011;tt1253864;75000000;83504017;211562435;77676809;86484341;219113265;FAIL
2012;tt2106476;3450000;687185;687185;3500503;697244;697244;FAIL
2010;tt1231587;36000000;50269859;63209958;38456346;53699864;67522890;FAIL
1988;tt0096320;15000000;111936388;216600000;29544705;220475172;426625542;FAIL
1999;tt0126886;8500000;14943582;17202854;11886927;20898032;24057538;PASS
2013;tt1623205;200000000;234770996;489570996;200000000;234770996;489570996;PASS
2008;tt0448157;150000000;227946274;624346274;162338447;246696294;675702695;FAIL
2006;tt0460989;8300000;1829142;25670174;9593110;2114116;29669493;FAIL
2013;tt2364841;30000000;19316646;62616646;30000000;19316646;62616646;FAIL
2012;tt1649419;40000000;19019882;169590606;40585543;19298306;172073169;FAIL
2010;tt1465522;5000000;223838;5476793;5341159;239111;5850485;PASS
2011;tt1412386;10000000;46383639;134729347;10356908;48039108;139537943;PASS
1996;tt0116477;2000000;1577287;2419669;2970330;2342531;3593608;FAIL
2005;tt0382077;25000000;51100486;123100486;29825828;60964573;146862958;PASS
2003;tt0323944;6000000;2207975;2932719;7596522;2795488;3713077;FAIL
1989;tt0098724;1200000;24741667;36741667;2255507;46504161;69059227;FAIL
1987;tt0094074;17000000;11227824;11227824;34856756;23021501;23021501;PASS
2005;tt0357110;1500000;712294;1126258;1789550;849790;1343663;PASS
2005;tt0443295;45000000;53359917;72359917;53686491;63660149;86327778;PASS
2003;tt0338188;65000000;26900336;38253433;82295652;34058165;48432173;PASS
2004;tt0293508;55000000;51225796;158225796;67825608;63171287;195122925;FAIL
2012;tt1735898;170000000;155136755;400911200;172488556;157407735;406779965;PASS
2012;tt1874789;60000;4917;4917;60878;4989;4989;FAIL
2001;tt0290879;9000000;454255;454255;11842614;597730;597730;PASS
2011;tt1259521;30000000;42073277;70768144;31070724;43574905;73293915;FAIL
2007;tt0423977;12000000;3950294;5295909;13482522;4438327;5950184;FAIL
2011;tt1068242;24000000;51802742;63412773;24856579;53651623;65676025;PASS
2011;tt1527186;9400000;3030848;18044073;9735493;3139021;18688080;PASS
2010;tt1013743;117000000;76423035;262142047;124983125;81637519;280028482;FAIL
2008;tt0780536;15000000;7800825;34533783;16233845;8442492;37374405;FAIL
1995;tt0112462;100000000;184031112;336529144;152877946;281342983;514478842;FAIL
2010;tt0480255;25000000;23591432;26714018;26705796;25201119;28536765;FAIL
2001;tt0263488;10000000;37904175;58939035;13158460;49876055;77554691;PASS
2003;tt0315733;20000000;16248701;59667625;25321739;20572268;75544402;FAIL
1996;tt0116931;250000;212285;743216;371291;315278;1103798;PASS
2010;tt0775489;16500000;39868642;83792062;17625825;42588953;89509349;FAIL
2011;tt1449283;30000000;26692846;50145607;31070724;27645535;51935343;FAIL
1980;tt0080716;18000000;22455510;77956957;50899822;63498970;220444178;PASS
2010;tt1270761;25000000;24046682;31551048;26705796;25687431;33703834;PASS
2004;tt0350258;40000000;75305995;124823094;49327715;92866817;153930950;FAIL
2004;tt0343660;75000000;120776832;196324496;92489466;148941129;242105970;FAIL
2001;tt0221218;22000000;17951431;22861785;28948611;23621318;30082587;PASS
2001;tt0160399;40000000;6114237;6114237;52633838;8045394;8045394;FAIL
1996;tt0115856;300000;1652472;2525984;445549;2454193;3751503;PASS
2013;tt2191701;80000000;133668525;247023808;80000000;133668525;247023808;FAIL
2000;tt0257001;30000000;43746923;133946923;40587251;59185579;181217915;FAIL
2011;tt1201607;125000000;381011219;1328111219;129461348;394609809;1375512553;FAIL
2005;tt0366780;4000000;864959;963224;4772133;1031925;1149158;PASS
2000;tt0219699;10000000;12008642;44567606;13529084;16246592;60295888;FAIL
2010;tt0455407;19000000;39123589;54956140;20296405;41793064;58705899;PASS
2005;tt0400497;50000000;66010682;144110682;59651656;78752930;171928818;PASS
2009;tt0403702;18000000;15285588;19685588;19543169;16596046;21373265;FAIL
1990;tt0099423;70000000;117323878;239814025;124808278;209185588;427582507;FAIL
2009;tt1013752;85000000;155064265;363064265;92287186;168358172;394190344;FAIL
2011;tt1723811;6500000;4002293;10781688;6731990;4145138;11166495;FAIL
2008;tt0830515;230000000;169368427;591692078;248918952;183300049;640362486;FAIL
2000;tt0217869;73243106;94999143;248099143;99091212;128525137;335655410;FAIL
2009;tt0380510;95000000;44114232;94894448;103144502;47896216;103029901;PASS
2004;tt0317705;92000000;261441092;632107545;113453745;322407292;779510522;PASS
2001;tt0221027;30000000;52990775;83282296;39475379;69727697;109586673;FAIL
2008;tt1034303;50000000;28644813;42268745;54112816;31001030;45745616;PASS
2012;tt1601913;25000000;51580136;84339696;25365964;52335195;85574308;FAIL
1996;tt0116367;20000000;25728961;25728961;29703299;38211750;38211750;FAIL
2012;tt1840417;6000000;11494838;12132578;6087831;11663106;12310182;FAIL
2000;tt0241303;25000000;71309760;152500343;33822710;96475572;206318992;PASS
2009;tt0758746;17000000;65002019;91700771;18457437;70574746;99562425;FAIL
2008;tt0800080;137500000;134806913;263417913;148810243;145895632;285085699;FAIL
1994;tt0109446;45000000;92115211;117615211;70724911;144774225;184851675;PASS
2008;tt0483607;33000000;11008770;21621188;35714458;11914311;23399667;PASS
2009;tt0780511;20000000;9208876;9208876;21714632;9998368;9998368;FAIL
1992;tt0104694;40000000;107533925;132440066;66413889;178543655;219896498;PASS
2012;tt1308729;55000000;9489829;13561515;55805121;9628746;13760036;FAIL
2012;tt1596365;15000000;54333290;128955898;15219578;55128651;130843627;FAIL
2001;tt0120681;35000000;31598308;68712365;46054609;41578506;90414888;FAIL
2007;tt0964587;11400000;15000;22446568;12808396;16853;25219695;PASS
2004;tt0359423;6500000;1029017;1033810;8015754;1268976;1274887;FAIL
1999;tt0155711;27000000;4485485;4485485;37758475;6272780;6272780;FAIL
1989;tt0097165;16400000;95860116;239500000;30825257;180177604;450161527;FAIL
2012;tt1232200;67500000;36931089;58058367;68488103;37471707;58908258;FAIL
1994;tt0110074;40000000;2816518;14938149;62866588;4426622;23477761;FAIL
2005;tt0360486;75000000;75976178;230884728;89477485;90642097;275453129;FAIL
2010;tt0892769;165000000;217581231;494870991;176258254;232427199;528636950;PASS
2013;tt2226417;5000000;83586447;161911222;5000000;83586447;161911222;FAIL
2012;tt1586265;37500000;41152203;80652203;38048946;41754612;81832836;PASS
2009;tt1220198;10000000;26218170;49486874;10857316;28465896;53729463;PASS
2004;tt0289879;13000000;57924679;96046844;16031507;71432302;118444284;FAIL
1998;tt0147612;3000000;2746453;5746453;4287397;3925045;8212442;PASS
1996;tt0116136;57000000;51364680;104364680;84654401;76285021;154998762;FAIL
2001;tt0162346;5500000;6217849;8761608;7237153;8181731;11528926;PASS
2010;tt1323594;69000000;251513985;543495033;73707997;268675247;580578700;PASS
1989;tt0098382;30000000;52210049;70200000;56387665;98133425;131947137;FAIL
1979;tt0078788;31500000;78800000;78800000;101101360;252913878;252913878;FAIL
2005;tt0379725;7000000;28750530;49924079;8351232;34300335;59561080;FAIL
1994;tt0109040;12000000;72217396;107217396;18859976;113501532;168509796;FAIL
2010;tt1385867;37000000;44875481;55909910;39524578;47937418;59724746;FAIL
2002;tt0313737;60000000;93354918;199043309;77710753;120911349;257796757;PASS
2008;tt0478087;35000000;81159365;157852532;37878971;87835235;170836899;PASS
2005;tt0397535;85000000;57010853;161510853;101407816;68015836;192687798;PASS
2011;tt0458339;140000000;176654505;370569776;144996710;182959443;383795703;FAIL
2005;tt0363771;180000000;291710957;748806957;214745963;348020836;893351507;PASS
2012;tt1655460;32500000;17288155;24159934;32975753;17541229;24513601;PASS
1998;tt0120603;53000000;22852487;22852487;75744013;32659228;32659228;PASS
2008;tt1185616;2000000;2283849;11125664;2164513;2471710;12040820;FAIL
2011;tt1506999;23000000;18942396;22176190;23820888;19618465;22967676;FAIL
1979;tt0078767;18500000;65233369;109175673;59376989;209370867;350406635;PASS
1996;tt0115591;3400000;12636;12636;5049561;18767;18767;FAIL
1997;tt0119177;36000000;12532777;12532777;52244573;18188044;18188044;FAIL
2001;tt0265666;28000000;52353636;71430876;36843687;68889320;93992029;PASS
1993;tt0106582;65000000;84049211;255000000;104809829;135525899;411177020;FAIL
1992;tt0104815;7000;2040920;2041928;11622;3388636;3390310;FAIL
1999;tt0120663;65000000;55691208;86257553;90900032;77882040;120627912;PASS
2003;tt0165982;60000000;26483452;80767884;75965217;33530353;102259164;FAIL
2010;tt1336617;7000000;7468936;10039886;7477623;7978555;10724926;FAIL
2002;tt0238380;20000000;1190018;5345869;25903584;1541287;6923858;FAIL
2011;tt0800369;150000000;181030624;449326618;155353618;187491749;465363438;PASS
1995;tt0114069;50000000;67823573;67823573;76438973;103687285;103687285;PASS
1999;tt0155776;3000000;3076820;3076820;4195386;4302816;4302816;PASS
2011;tt0999913;25000000;10324441;11253821;25892270;10692928;11655479;PASS
1994;tt0111282;55000000;71565669;196565669;86441558;112477236;308935323;FAIL
1973;tt0069704;777000;115000000;140000000;4074506;603047833;734145189;FAIL
2006;tt0454945;25000000;33889159;55279608;28894909;39168966;63891969;FAIL
2003;tt0316396;100000000;48417850;95255485;126608696;61301208;120601727;PASS
1982;tt0084522;4000000;109492484;109492484;9653072;264234708;264234708;FAIL
2001;tt0258273;250000;4210379;4695781;328961;5540210;6178924;PASS
1996;tt0116421;45000000;20404841;36404841;66832422;30304554;54067193;FAIL
2006;tt0482571;40000000;53089891;107896006;46231854;61361102;124705810;FAIL
1996;tt0115798;47000000;60240295;102825796;69802752;89466773;152713266;FAIL
1999;tt0163651;12000000;101800948;234723148;16781544;142364760;328251410;FAIL
1998;tt0120828;80000000;74339294;164800000;114330585;106240687;235521005;FAIL
1998;tt0120813;1000000;21210;21210;1429132;30312;30312;FAIL
1999;tt0144640;20000000;10570375;10570375;27969241;14782268;14782268;FAIL
2009;tt0432283;40000000;21002919;46498922;43429264;22803533;50485349;FAIL
1999;tt0120657;125000000;32698899;61698899;174807753;45728169;86283567;FAIL
2012;tt1870529;19000000;5310554;5431486;19278133;5388293;5510995;PASS
2002;tt0253556;60000000;43061982;82150183;77710753;55772984;106399210;FAIL
2007;tt0825232;45000000;93466502;174310293;50559457;105013679;195845194;FAIL
2003;tt0333780;25000000;90639088;125339088;31652174;114756967;158690184;PASS
2011;tt1568911;70000000;79883359;156815529;72498355;82734459;162412399;FAIL
2010;tt1216520;13000000;;;13887014;;;PASS
2001;tt0230011;90000000;84052762;186049020;118426136;110600487;244811851;FAIL
1996;tt0117509;14500000;46338728;147542381;21534891;68820654;219124769;FAIL
2007;tt0829482;17500000;121463226;169863226;19662011;136469216;190848721;FAIL
2003;tt0305357;120000000;100814328;227200000;151930435;127639706;287654957;PASS
2004;tt0367631;3500000;96793;96793;4316175;119364;119364;PASS
2013;tt1535109;55000000;107136417;218743570;55000000;107136417;218743570;FAIL
1987;tt0093177;1000000;14564000;14564000;2050397;29861988;29861988;PASS
2004;tt0333766;2500000;26782316;36028802;3082982;33027761;44430462;PASS
2002;tt0307479;47000000;14970038;14970038;60873423;19388882;19388882;FAIL
2006;tt0468492;50000000;26623701;58188384;57789817;30771576;67253922;PASS
1998;tt0120768;50000000;44705766;49105766;71456616;63890455;70178637;FAIL
2006;tt0317219;70000000;244082982;461667967;80905744;282110219;533594150;FAIL
2013;tt2023587;15000000;71628180;148041253;15000000;71628180;148041253;PASS
2000;tt0202677;9000000;6047856;13061935;12176175;8182195;17671601;FAIL
1998;tt0120623;45000000;162798565;363095319;64310954;232660690;518911253;PASS
1978;tt0077402;28000000;58990765;103452875;99979768;210638678;369399800;FAIL
2010;tt1126618;40000000;31011732;60040974;42729274;33127720;64137680;PASS
1999;tt0144117;7000000;30471;411874;9789234;42613;575990;FAIL
1988;tt0095497;7000000;8373585;8373585;13787529;16493007;16493007;FAIL
1987;tt0093870;120000000;54764805;221577330;246047687;112289613;454321579;FAIL
2005;tt0407265;1000000;9015303;16553163;1193033;10755555;19748472;PASS
2006;tt0389557;22000000;4398532;27238354;25427520;5083807;31481990;PASS
1984;tt0087332;30000000;238632124;291632124;67243320;534880544;653677077;FAIL
2005;tt0360717;207000000;218080025;550517357;246957858;260176695;656785445;FAIL
2004;tt0350028;50000000;37485528;43340302;61659644;46226886;53446952;PASS
2013;tt2184339;3000000;64473115;91100541;3000000;64473115;91100541;FAIL
2004;tt0346156;70000000;37760080;49730854;86323501;46565462;61327735;PASS
2001;tt0268978;78000000;170708996;317668058;102635985;224626742;418002230;FAIL
2010;tt0842926;4000000;20811365;36275469;4272927;22231363;38750611;PASS
2011;tt0409847;163000000;100240551;175910315;168817598;103818215;182188693;FAIL
2010;tt1536044;3000000;84752907;177512032;3204696;90535754;189624005;PASS
2002;tt0253867;43000000;24430272;44633441;55692706;31641581;57808305;PASS
2007;tt0427327;75000000;118871849;202871849;84265761;133557691;227935344;PASS
2005;tt0356910;110000000;186336279;478336279;131233644;222305354;570671028;FAIL
1999;tt0179116;1200000;2205627;2629191;1678154;3084486;3676824;PASS
2009;tt0974661;40000000;64167069;139474906;43429264;69668214;151432312;PASS
2012;tt1598828;42000000;26414527;36197221;42614820;26801198;36727096;PASS
2013;tt1931435;32500000;21819348;35770721;32500000;21819348;35770721;PASS
1993;tt0106977;44000000;183875760;353715317;70948192;296492106;570351412;FAIL
2002;tt0298130;48000000;129094024;248218486;62168602;167199897;321487424;PASS
2005;tt0120667;87500000;154696080;330717080;104390399;184557548;394556433;FAIL
2011;tt1508675;5500000;611709;13480196;5696299;633541;13961315;FAIL
2009;tt0795351;27000000;13261851;29302804;29314753;14398811;31814980;PASS
2005;tt0373469;15000000;4235837;13105837;17895497;5053494;15635698;FAIL
